record_id,layer_A_valid,condition_unit_valid,required_field_coverage,available_reported_fields,missing_reported_fields,derived_field_requested,derived_field_approved,imputation_used,projection_status,projection_blockers,scoring_admitted
P2V26-0019,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0020,true,true,0.125,temperature_c,modulator_concentration_m|precursor_concentration_m|drying_route|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|drying_route|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0021,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0022,true,true,0.125,temperature_c,modulator_concentration_m|precursor_concentration_m|drying_route|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|drying_route|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0023,true,true,0.125,temperature_c,modulator_concentration_m|precursor_concentration_m|drying_route|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|drying_route|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0024,true,true,0.125,temperature_c,modulator_concentration_m|precursor_concentration_m|drying_route|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|drying_route|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0025,true,true,0.125,temperature_c,modulator_concentration_m|precursor_concentration_m|drying_route|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|drying_route|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0026,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0027,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0028,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0029,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0030,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0031,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0032,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0033,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0034,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V27-0035,true,true,0.375,precursor_concentration_m|temperature_c|drying_route,modulator_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V27-0036,true,true,0.375,precursor_concentration_m|temperature_c|drying_route,modulator_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V27-0037,true,true,0.375,precursor_concentration_m|temperature_c|drying_route,modulator_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V27-0038,true,true,0.375,precursor_concentration_m|temperature_c|drying_route,modulator_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V27-0039,true,true,0.375,precursor_concentration_m|temperature_c|drying_route,modulator_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V27-0040,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V27-0041,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V27-0042,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V27-0043,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V27-0044,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V27-0045,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V27-0046,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V27-0047,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V27-0048,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V27-0049,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
